,X,rt,trial_index,subject,form_assignment,stimulus,button_pressed,stimNum,topic,form,response,numeric_response
27,34,12963,4,0k8qceb2g7,non_conventional,<p>The United States is south of Canada.</p>,1,23,usa,proposition,literal,0
28,35,2839,5,0k8qceb2g7,non_conventional,<p>Please turn off the television.</p>,0,14,television,direct,request,1
29,36,11242,6,0k8qceb2g7,non_conventional,<p>My car isn't starting.</p>,1,1,car,nonconventional,literal,0
30,37,1537,7,0k8qceb2g7,non_conventional,<p>Please wash your clothes.</p>,0,16,laundry,direct,request,1
31,38,1002,8,0k8qceb2g7,non_conventional,<p>Can you say that in Spanish?</p>,0,10,spanish,conventional,request,1
32,39,3030,9,0k8qceb2g7,non_conventional,<p>Please fix my faucet.</p>,0,18,faucet,direct,request,1
33,40,1479,10,0k8qceb2g7,non_conventional,<p>My laptop is broken.</p>,1,5,laptop,nonconventional,literal,0
34,41,4584,11,0k8qceb2g7,non_conventional,<p>The dog is named Skip.</p>,1,21,dog,proposition,literal,0
35,42,7510,12,0k8qceb2g7,non_conventional,<p>Please refill my cup.</p>,0,13,salt,direct,request,1
36,43,4968,13,0k8qceb2g7,non_conventional,<p>Can you play the piano?</p>,0,8,piano,conventional,request,1
37,44,1671,14,0k8qceb2g7,non_conventional,<p>I am wearing a green hat.</p>,1,19,hat,proposition,literal,0
38,45,2229,15,0k8qceb2g7,non_conventional,<p>Paris is the capital of France.</p>,1,20,Paris,proposition,literal,0
39,46,2494,16,0k8qceb2g7,non_conventional,<p>I am six feet tall.</p>,1,22,tall,proposition,literal,0
40,47,1383,17,0k8qceb2g7,non_conventional,<p>Can you lift that box?</p>,0,3,box,conventional,request,1
41,48,2898,18,0k8qceb2g7,non_conventional,<p>Cats are a kind of mammal.</p>,1,24,cats,proposition,literal,0
42,49,1611,19,0k8qceb2g7,non_conventional,<p>Can you close that door?</p>,0,4,door,conventional,request,1
43,50,1861,20,0k8qceb2g7,non_conventional,<p>My office is really hot.</p>,1,6,office,nonconventional,literal,0
44,51,1574,21,0k8qceb2g7,non_conventional,<p>My phone is dying.</p>,1,7,phone,nonconventional,literal,0
45,52,1385,22,0k8qceb2g7,non_conventional,<p>Can you open that window?</p>,0,11,window,conventional,request,1
46,53,1711,23,0k8qceb2g7,non_conventional,<p>Please dice this onion.</p>,0,15,tomatoes,direct,request,1
47,54,2665,24,0k8qceb2g7,non_conventional,<p>Can you change the temperature?</p>,0,12,temperature,conventional,request,1
48,55,1514,25,0k8qceb2g7,non_conventional,<p>My soup is cold.</p>,1,9,soup,nonconventional,literal,0
49,62,2063,2,0luzqthyxo,conventional,<p>Please dice this onion.</p>,0,15,tomatoes,direct,request,1
50,63,1230,3,0luzqthyxo,conventional,<p>Please fix my faucet.</p>,0,18,faucet,direct,request,1
51,64,5136,4,0luzqthyxo,conventional,<p>Can you lift that box?</p>,1,3,box,conventional,literal,0
52,65,1311,5,0luzqthyxo,conventional,<p>The United States is south of Canada.</p>,1,23,usa,proposition,literal,0
53,66,951,6,0luzqthyxo,conventional,<p>Cats are a kind of mammal.</p>,1,24,cats,proposition,literal,0
54,67,1047,7,0luzqthyxo,conventional,<p>My soup is cold.</p>,1,9,soup,nonconventional,literal,0
55,68,3552,8,0luzqthyxo,conventional,<p>My phone is dying.</p>,0,7,phone,nonconventional,request,1
56,69,1319,9,0luzqthyxo,conventional,<p>My office is really hot.</p>,0,6,office,nonconventional,request,1
57,70,1182,10,0luzqthyxo,conventional,<p>Please refill my cup.</p>,0,13,salt,direct,request,1
58,71,1904,11,0luzqthyxo,conventional,<p>My laptop is broken.</p>,1,5,laptop,nonconventional,literal,0
59,72,1408,12,0luzqthyxo,conventional,<p>I am wearing a green hat.</p>,1,19,hat,proposition,literal,0
60,73,1544,13,0luzqthyxo,conventional,<p>Can you open that window?</p>,0,11,window,conventional,request,1
61,74,1671,14,0luzqthyxo,conventional,<p>My car isn't starting.</p>,0,1,car,nonconventional,request,1
62,75,967,15,0luzqthyxo,conventional,<p>Can you close that door?</p>,0,4,door,conventional,request,1
63,76,2296,16,0luzqthyxo,conventional,<p>My back is really sore.</p>,0,2,back,nonconventional,request,1
64,77,926,17,0luzqthyxo,conventional,<p>Paris is the capital of France.</p>,1,20,Paris,proposition,literal,0
65,78,1080,18,0luzqthyxo,conventional,<p>Please turn off the television.</p>,0,14,television,direct,request,1
66,79,903,19,0luzqthyxo,conventional,<p>Can you change the temperature?</p>,0,12,temperature,conventional,request,1
67,80,1015,20,0luzqthyxo,conventional,<p>Can you say that in Spanish?</p>,0,10,spanish,conventional,request,1
68,81,3016,21,0luzqthyxo,conventional,<p>I am six feet tall.</p>,1,22,tall,proposition,literal,0
69,82,1232,22,0luzqthyxo,conventional,<p>The dog is named Skip.</p>,1,21,dog,proposition,literal,0
70,83,1111,23,0luzqthyxo,conventional,<p>Please wash your clothes.</p>,0,16,laundry,direct,request,1
71,84,879,24,0luzqthyxo,conventional,<p>Please clean up your room.</p>,0,17,clean,direct,request,1
72,85,848,25,0luzqthyxo,conventional,<p>Can you play the piano?</p>,0,8,piano,conventional,request,1
73,92,2405,2,0vuatp23nk,non_conventional,<p>Please dice this onion.</p>,0,15,tomatoes,direct,request,1
74,93,1245,3,0vuatp23nk,non_conventional,<p>The dog is named Skip.</p>,1,21,dog,proposition,literal,0
75,94,932,4,0vuatp23nk,non_conventional,<p>Please refill my cup.</p>,0,13,salt,direct,request,1
76,95,1536,5,0vuatp23nk,non_conventional,<p>Can you play the piano?</p>,1,8,piano,conventional,literal,0
77,96,1670,6,0vuatp23nk,non_conventional,<p>Can you say that in Spanish?</p>,0,10,spanish,conventional,request,1
78,97,2132,7,0vuatp23nk,non_conventional,<p>My car isn't starting.</p>,0,1,car,nonconventional,request,1
79,98,1215,8,0vuatp23nk,non_conventional,<p>Paris is the capital of France.</p>,1,20,Paris,proposition,literal,0
80,99,980,9,0vuatp23nk,non_conventional,<p>My back is really sore.</p>,1,2,back,nonconventional,literal,0
81,100,885,10,0vuatp23nk,non_conventional,<p>I am six feet tall.</p>,1,22,tall,proposition,literal,0
82,101,1050,11,0vuatp23nk,non_conventional,<p>The United States is south of Canada.</p>,1,23,usa,proposition,literal,0
83,102,894,12,0vuatp23nk,non_conventional,<p>Can you open that window?</p>,0,11,window,conventional,request,1
84,103,822,13,0vuatp23nk,non_conventional,<p>Please turn off the television.</p>,0,14,television,direct,request,1
85,104,808,14,0vuatp23nk,non_conventional,<p>Can you change the temperature?</p>,0,12,temperature,conventional,request,1
86,105,745,15,0vuatp23nk,non_conventional,<p>Can you lift that box?</p>,0,3,box,conventional,request,1
87,106,869,16,0vuatp23nk,non_conventional,<p>My soup is cold.</p>,1,9,soup,nonconventional,literal,0
88,107,1771,17,0vuatp23nk,non_conventional,<p>My phone is dying.</p>,1,7,phone,nonconventional,literal,0
89,108,845,18,0vuatp23nk,non_conventional,<p>My office is really hot.</p>,1,6,office,nonconventional,literal,0
90,109,909,19,0vuatp23nk,non_conventional,<p>My laptop is broken.</p>,1,5,laptop,nonconventional,literal,0
91,110,837,20,0vuatp23nk,non_conventional,<p>Can you close that door?</p>,0,4,door,conventional,request,1
92,111,1066,21,0vuatp23nk,non_conventional,<p>I am wearing a green hat.</p>,1,19,hat,proposition,literal,0
93,112,987,22,0vuatp23nk,non_conventional,<p>Please fix my faucet.</p>,0,18,faucet,direct,request,1
94,113,649,23,0vuatp23nk,non_conventional,<p>Please wash your clothes.</p>,0,16,laundry,direct,request,1
95,114,1003,24,0vuatp23nk,non_conventional,<p>Cats are a kind of mammal.</p>,1,24,cats,proposition,literal,0
96,115,1025,25,0vuatp23nk,non_conventional,<p>Please clean up your room.</p>,0,17,clean,direct,request,1
97,122,10369,2,0wvtqwa3c6,conventional,<p>Please clean up your room.</p>,1,17,clean,direct,literal,0
98,123,3635,3,0wvtqwa3c6,conventional,<p>Paris is the capital of France.</p>,1,20,Paris,proposition,literal,0
99,124,3449,4,0wvtqwa3c6,conventional,<p>Can you open that window?</p>,0,11,window,conventional,request,1
100,125,2779,5,0wvtqwa3c6,conventional,<p>Can you change the temperature?</p>,0,12,temperature,conventional,request,1
101,126,2614,6,0wvtqwa3c6,conventional,<p>Please dice this onion.</p>,0,15,tomatoes,direct,request,1
102,127,2363,7,0wvtqwa3c6,conventional,<p>My laptop is broken.</p>,1,5,laptop,nonconventional,literal,0
103,128,2614,8,0wvtqwa3c6,conventional,<p>Please refill my cup.</p>,0,13,salt,direct,request,1
104,129,2396,9,0wvtqwa3c6,conventional,<p>Can you close that door?</p>,0,4,door,conventional,request,1
105,130,2641,10,0wvtqwa3c6,conventional,<p>My office is really hot.</p>,1,6,office,nonconventional,literal,0
106,131,2804,11,0wvtqwa3c6,conventional,<p>My car isn't starting.</p>,1,1,car,nonconventional,literal,0
107,132,2221,12,0wvtqwa3c6,conventional,<p>Please turn off the television.</p>,0,14,television,direct,request,1
108,133,1637,13,0wvtqwa3c6,conventional,<p>I am six feet tall.</p>,1,22,tall,proposition,literal,0
109,134,7627,14,0wvtqwa3c6,conventional,<p>Please wash your clothes.</p>,0,16,laundry,direct,request,1
110,135,2033,15,0wvtqwa3c6,conventional,<p>Can you play the piano?</p>,0,8,piano,conventional,request,1
111,136,12610,16,0wvtqwa3c6,conventional,<p>The United States is south of Canada.</p>,1,23,usa,proposition,literal,0
112,137,7850,17,0wvtqwa3c6,conventional,<p>The dog is named Skip.</p>,1,21,dog,proposition,literal,0
113,138,2339,18,0wvtqwa3c6,conventional,<p>I am wearing a green hat.</p>,1,19,hat,proposition,literal,0
114,139,4227,19,0wvtqwa3c6,conventional,<p>My phone is dying.</p>,1,7,phone,nonconventional,literal,0
115,140,1602,20,0wvtqwa3c6,conventional,<p>Please fix my faucet.</p>,0,18,faucet,direct,request,1
116,141,1826,21,0wvtqwa3c6,conventional,<p>Can you lift that box?</p>,0,3,box,conventional,request,1
117,142,4632,22,0wvtqwa3c6,conventional,<p>My back is really sore.</p>,1,2,back,nonconventional,literal,0
118,143,2431,23,0wvtqwa3c6,conventional,<p>Cats are a kind of mammal.</p>,1,24,cats,proposition,literal,0
119,144,5187,24,0wvtqwa3c6,conventional,<p>Can you say that in Spanish?</p>,0,10,spanish,conventional,request,1
120,145,3104,25,0wvtqwa3c6,conventional,<p>My soup is cold.</p>,1,9,soup,nonconventional,literal,0
121,152,2297,2,14lcw1j1bm,conventional,<p>I am wearing a green hat.</p>,1,19,hat,proposition,literal,0
122,153,1427,3,14lcw1j1bm,conventional,<p>Please dice this onion.</p>,0,15,tomatoes,direct,request,1
123,154,2297,4,14lcw1j1bm,conventional,<p>Paris is the capital of France.</p>,1,20,Paris,proposition,literal,0
124,155,3229,5,14lcw1j1bm,conventional,<p>My office is really hot.</p>,1,6,office,nonconventional,literal,0
125,156,2057,6,14lcw1j1bm,conventional,<p>The dog is named Skip.</p>,1,21,dog,proposition,literal,0
126,157,2393,7,14lcw1j1bm,conventional,<p>My car isn't starting.</p>,1,1,car,nonconventional,literal,0
127,158,884,8,14lcw1j1bm,conventional,<p>Please wash your clothes.</p>,0,16,laundry,direct,request,1
128,159,956,9,14lcw1j1bm,conventional,<p>Cats are a kind of mammal.</p>,1,24,cats,proposition,literal,0
129,160,1423,10,14lcw1j1bm,conventional,<p>My laptop is broken.</p>,1,5,laptop,nonconventional,literal,0
130,161,1549,11,14lcw1j1bm,conventional,<p>Can you open that window?</p>,0,11,window,conventional,request,1
131,162,932,12,14lcw1j1bm,conventional,<p>Please clean up your room.</p>,0,17,clean,direct,request,1
132,163,1093,13,14lcw1j1bm,conventional,<p>My back is really sore.</p>,1,2,back,nonconventional,literal,0
133,164,690,14,14lcw1j1bm,conventional,<p>Can you lift that box?</p>,0,3,box,conventional,request,1
134,165,1155,15,14lcw1j1bm,conventional,<p>Please fix my faucet.</p>,0,18,faucet,direct,request,1
135,166,1067,16,14lcw1j1bm,conventional,<p>My soup is cold.</p>,1,9,soup,nonconventional,literal,0
136,167,960,17,14lcw1j1bm,conventional,<p>Please refill my cup.</p>,0,13,salt,direct,request,1
137,168,2840,18,14lcw1j1bm,conventional,<p>The United States is south of Canada.</p>,1,23,usa,proposition,literal,0
138,169,987,19,14lcw1j1bm,conventional,<p>Can you close that door?</p>,0,4,door,conventional,request,1
139,170,1017,20,14lcw1j1bm,conventional,<p>I am six feet tall.</p>,1,22,tall,proposition,literal,0
140,171,1242,21,14lcw1j1bm,conventional,<p>Can you change the temperature?</p>,0,12,temperature,conventional,request,1
141,172,1119,22,14lcw1j1bm,conventional,<p>Can you say that in Spanish?</p>,0,10,spanish,conventional,request,1
142,173,887,23,14lcw1j1bm,conventional,<p>Please turn off the television.</p>,0,14,television,direct,request,1
143,174,6103,24,14lcw1j1bm,conventional,<p>My phone is dying.</p>,1,7,phone,nonconventional,literal,0
144,175,721,25,14lcw1j1bm,conventional,<p>Can you play the piano?</p>,0,8,piano,conventional,request,1
145,182,2318,2,16l7m3hry0,non_conventional,<p>Please wash your clothes.</p>,0,16,laundry,direct,request,1
146,183,1543,3,16l7m3hry0,non_conventional,<p>Please dice this onion.</p>,0,15,tomatoes,direct,request,1
147,184,2303,4,16l7m3hry0,non_conventional,<p>Can you lift that box?</p>,0,3,box,conventional,request,1
148,185,1875,5,16l7m3hry0,non_conventional,<p>My soup is cold.</p>,1,9,soup,nonconventional,literal,0
149,186,1166,6,16l7m3hry0,non_conventional,<p>Can you close that door?</p>,0,4,door,conventional,request,1
150,187,1264,7,16l7m3hry0,non_conventional,<p>My phone is dying.</p>,1,7,phone,nonconventional,literal,0
151,188,1262,8,16l7m3hry0,non_conventional,<p>My laptop is broken.</p>,1,5,laptop,nonconventional,literal,0
152,189,1353,9,16l7m3hry0,non_conventional,<p>The dog is named Skip.</p>,1,21,dog,proposition,literal,0
153,190,1093,10,16l7m3hry0,non_conventional,<p>I am six feet tall.</p>,1,22,tall,proposition,literal,0
154,191,1361,11,16l7m3hry0,non_conventional,<p>Please clean up your room.</p>,0,17,clean,direct,request,1
155,192,1738,12,16l7m3hry0,non_conventional,<p>Can you say that in Spanish?</p>,0,10,spanish,conventional,request,1
156,193,2463,13,16l7m3hry0,non_conventional,<p>My back is really sore.</p>,1,2,back,nonconventional,literal,0
157,194,1344,14,16l7m3hry0,non_conventional,<p>Paris is the capital of France.</p>,1,20,Paris,proposition,literal,0
158,195,1505,15,16l7m3hry0,non_conventional,<p>Please refill my cup.</p>,0,13,salt,direct,request,1
159,196,1134,16,16l7m3hry0,non_conventional,<p>Please turn off the television.</p>,0,14,television,direct,request,1
160,197,1312,17,16l7m3hry0,non_conventional,<p>My car isn't starting.</p>,1,1,car,nonconventional,literal,0
161,198,1142,18,16l7m3hry0,non_conventional,<p>Please fix my faucet.</p>,0,18,faucet,direct,request,1
162,199,2215,19,16l7m3hry0,non_conventional,<p>My office is really hot.</p>,1,6,office,nonconventional,literal,0
163,200,2025,20,16l7m3hry0,non_conventional,<p>Cats are a kind of mammal.</p>,1,24,cats,proposition,literal,0
164,201,1523,21,16l7m3hry0,non_conventional,<p>Can you change the temperature?</p>,0,12,temperature,conventional,request,1
165,202,1553,22,16l7m3hry0,non_conventional,<p>The United States is south of Canada.</p>,1,23,usa,proposition,literal,0
166,203,1900,23,16l7m3hry0,non_conventional,<p>I am wearing a green hat.</p>,1,19,hat,proposition,literal,0
167,204,1069,24,16l7m3hry0,non_conventional,<p>Can you open that window?</p>,0,11,window,conventional,request,1
168,205,877,25,16l7m3hry0,non_conventional,<p>Can you play the piano?</p>,0,8,piano,conventional,request,1
169,212,2214,2,1hw83fpb74,conventional,<p>Please refill my cup.</p>,0,13,salt,direct,request,1
170,213,2126,3,1hw83fpb74,conventional,<p>Can you close that door?</p>,0,4,door,conventional,request,1
171,214,2231,4,1hw83fpb74,conventional,<p>Can you say that in Spanish?</p>,0,10,spanish,conventional,request,1
172,215,1766,5,1hw83fpb74,conventional,<p>My laptop is broken.</p>,1,5,laptop,nonconventional,literal,0
173,216,1614,6,1hw83fpb74,conventional,<p>My back is really sore.</p>,1,2,back,nonconventional,literal,0
174,217,1270,7,1hw83fpb74,conventional,<p>My phone is dying.</p>,1,7,phone,nonconventional,literal,0
175,218,1318,8,1hw83fpb74,conventional,<p>Please turn off the television.</p>,0,14,television,direct,request,1
176,219,1294,9,1hw83fpb74,conventional,<p>Paris is the capital of France.</p>,1,20,Paris,proposition,literal,0
177,220,1134,10,1hw83fpb74,conventional,<p>Please fix my faucet.</p>,0,18,faucet,direct,request,1
178,221,1479,11,1hw83fpb74,conventional,<p>Please wash your clothes.</p>,0,16,laundry,direct,request,1
179,222,1471,12,1hw83fpb74,conventional,<p>Can you change the temperature?</p>,0,12,temperature,conventional,request,1
180,223,1023,13,1hw83fpb74,conventional,<p>Please dice this onion.</p>,0,15,tomatoes,direct,request,1
181,224,1543,14,1hw83fpb74,conventional,<p>My soup is cold.</p>,1,9,soup,nonconventional,literal,0
182,225,1663,15,1hw83fpb74,conventional,<p>My car isn't starting.</p>,1,1,car,nonconventional,literal,0
183,226,1265,16,1hw83fpb74,conventional,<p>Cats are a kind of mammal.</p>,1,24,cats,proposition,literal,0
184,227,1245,17,1hw83fpb74,conventional,<p>Can you lift that box?</p>,0,3,box,conventional,request,1
185,228,2550,18,1hw83fpb74,conventional,<p>My office is really hot.</p>,1,6,office,nonconventional,literal,0
186,229,1750,19,1hw83fpb74,conventional,<p>I am six feet tall.</p>,1,22,tall,proposition,literal,0
187,230,3079,20,1hw83fpb74,conventional,<p>Can you play the piano?</p>,1,8,piano,conventional,literal,0
188,231,1727,21,1hw83fpb74,conventional,<p>Can you open that window?</p>,0,11,window,conventional,request,1
189,232,1343,22,1hw83fpb74,conventional,<p>Please clean up your room.</p>,0,17,clean,direct,request,1
190,233,1543,23,1hw83fpb74,conventional,<p>I am wearing a green hat.</p>,1,19,hat,proposition,literal,0
191,234,1870,24,1hw83fpb74,conventional,<p>The dog is named Skip.</p>,1,21,dog,proposition,literal,0
192,235,1151,25,1hw83fpb74,conventional,<p>The United States is south of Canada.</p>,1,23,usa,proposition,literal,0
193,242,10369,2,1x3l1vb90n,non_conventional,<p>Can you change the temperature?</p>,1,12,temperature,conventional,literal,0
194,243,4409,3,1x3l1vb90n,non_conventional,<p>My back is really sore.</p>,0,2,back,nonconventional,request,1
195,244,4189,4,1x3l1vb90n,non_conventional,<p>My car isn't starting.</p>,1,1,car,nonconventional,literal,0
196,245,4918,5,1x3l1vb90n,non_conventional,<p>Cats are a kind of mammal.</p>,1,24,cats,proposition,literal,0
197,246,7014,6,1x3l1vb90n,non_conventional,<p>Can you say that in Spanish?</p>,1,10,spanish,conventional,literal,0
198,247,6950,7,1x3l1vb90n,non_conventional,<p>My phone is dying.</p>,0,7,phone,nonconventional,request,1
199,248,2276,8,1x3l1vb90n,non_conventional,<p>Please clean up your room.</p>,0,17,clean,direct,request,1
200,249,2447,9,1x3l1vb90n,non_conventional,<p>My laptop is broken.</p>,1,5,laptop,nonconventional,literal,0
201,250,2876,10,1x3l1vb90n,non_conventional,<p>Can you lift that box?</p>,0,3,box,conventional,request,1
202,251,2407,11,1x3l1vb90n,non_conventional,<p>Please wash your clothes.</p>,0,16,laundry,direct,request,1
203,252,2305,12,1x3l1vb90n,non_conventional,<p>Can you play the piano?</p>,0,8,piano,conventional,request,1
204,253,32432,13,1x3l1vb90n,non_conventional,<p>The United States is south of Canada.</p>,1,23,usa,proposition,literal,0
205,254,2149,14,1x3l1vb90n,non_conventional,<p>The dog is named Skip.</p>,1,21,dog,proposition,literal,0
206,255,2317,15,1x3l1vb90n,non_conventional,<p>Please refill my cup.</p>,0,13,salt,direct,request,1
207,256,5285,16,1x3l1vb90n,non_conventional,<p>I am six feet tall.</p>,1,22,tall,proposition,literal,0
208,257,2430,17,1x3l1vb90n,non_conventional,<p>Please turn off the television.</p>,0,14,television,direct,request,1
209,258,47295,18,1x3l1vb90n,non_conventional,<p>Please dice this onion.</p>,0,15,tomatoes,direct,request,1
210,259,1496,19,1x3l1vb90n,non_conventional,<p>Can you close that door?</p>,0,4,door,conventional,request,1
211,260,2822,20,1x3l1vb90n,non_conventional,<p>My soup is cold.</p>,1,9,soup,nonconventional,literal,0
212,261,1901,21,1x3l1vb90n,non_conventional,<p>Can you open that window?</p>,0,11,window,conventional,request,1
213,262,2734,22,1x3l1vb90n,non_conventional,<p>I am wearing a green hat.</p>,1,19,hat,proposition,literal,0
214,263,3485,23,1x3l1vb90n,non_conventional,<p>My office is really hot.</p>,1,6,office,nonconventional,literal,0
215,264,4804,24,1x3l1vb90n,non_conventional,<p>Paris is the capital of France.</p>,1,20,Paris,proposition,literal,0
216,265,1855,25,1x3l1vb90n,non_conventional,<p>Please fix my faucet.</p>,0,18,faucet,direct,request,1
217,272,2011,2,2xn809g0sy,non_conventional,<p>Can you close that door?</p>,0,4,door,conventional,request,1
218,273,1247,3,2xn809g0sy,non_conventional,<p>Can you play the piano?</p>,0,8,piano,conventional,request,1
219,274,1243,4,2xn809g0sy,non_conventional,<p>My phone is dying.</p>,1,7,phone,nonconventional,literal,0
220,275,1579,5,2xn809g0sy,non_conventional,<p>My laptop is broken.</p>,1,5,laptop,nonconventional,literal,0
221,276,3619,6,2xn809g0sy,non_conventional,<p>Please clean up your room.</p>,0,17,clean,direct,request,1
222,277,1186,7,2xn809g0sy,non_conventional,<p>Cats are a kind of mammal.</p>,1,24,cats,proposition,literal,0
223,278,1032,8,2xn809g0sy,non_conventional,<p>I am six feet tall.</p>,1,22,tall,proposition,literal,0
224,279,919,9,2xn809g0sy,non_conventional,<p>Can you lift that box?</p>,0,3,box,conventional,request,1
225,280,1237,10,2xn809g0sy,non_conventional,<p>My soup is cold.</p>,1,9,soup,nonconventional,literal,0
226,281,1263,11,2xn809g0sy,non_conventional,<p>Please wash your clothes.</p>,0,16,laundry,direct,request,1
227,282,1211,12,2xn809g0sy,non_conventional,<p>My car isn't starting.</p>,1,1,car,nonconventional,literal,0
228,283,2410,13,2xn809g0sy,non_conventional,<p>Please fix my faucet.</p>,0,18,faucet,direct,request,1
229,284,973,14,2xn809g0sy,non_conventional,<p>Please turn off the television.</p>,0,14,television,direct,request,1
230,285,1053,15,2xn809g0sy,non_conventional,<p>Can you change the temperature?</p>,0,12,temperature,conventional,request,1
231,286,1461,16,2xn809g0sy,non_conventional,<p>My back is really sore.</p>,1,2,back,nonconventional,literal,0
232,287,1048,17,2xn809g0sy,non_conventional,<p>Paris is the capital of France.</p>,1,20,Paris,proposition,literal,0
233,288,875,18,2xn809g0sy,non_conventional,<p>The United States is south of Canada.</p>,1,23,usa,proposition,literal,0
234,289,951,19,2xn809g0sy,non_conventional,<p>My office is really hot.</p>,1,6,office,nonconventional,literal,0
235,290,1098,20,2xn809g0sy,non_conventional,<p>Can you say that in Spanish?</p>,0,10,spanish,conventional,request,1
236,291,1013,21,2xn809g0sy,non_conventional,<p>Please refill my cup.</p>,0,13,salt,direct,request,1
237,292,2721,22,2xn809g0sy,non_conventional,<p>Please dice this onion.</p>,0,15,tomatoes,direct,request,1
238,293,1149,23,2xn809g0sy,non_conventional,<p>I am wearing a green hat.</p>,1,19,hat,proposition,literal,0
239,294,861,24,2xn809g0sy,non_conventional,<p>Can you open that window?</p>,0,11,window,conventional,request,1
240,295,1098,25,2xn809g0sy,non_conventional,<p>The dog is named Skip.</p>,1,21,dog,proposition,literal,0
241,302,3580,2,32cv20ytda,non_conventional,<p>Please fix my faucet.</p>,0,18,faucet,direct,request,1
242,303,1378,3,32cv20ytda,non_conventional,<p>The United States is south of Canada.</p>,1,23,usa,proposition,literal,0
243,304,1382,4,32cv20ytda,non_conventional,<p>Please dice this onion.</p>,0,15,tomatoes,direct,request,1
244,305,1543,5,32cv20ytda,non_conventional,<p>My back is really sore.</p>,1,2,back,nonconventional,literal,0
245,306,1900,6,32cv20ytda,non_conventional,<p>My soup is cold.</p>,1,9,soup,nonconventional,literal,0
246,307,908,7,32cv20ytda,non_conventional,<p>My office is really hot.</p>,1,6,office,nonconventional,literal,0
247,308,1366,8,32cv20ytda,non_conventional,<p>My car isn't starting.</p>,1,1,car,nonconventional,literal,0
248,309,1003,9,32cv20ytda,non_conventional,<p>Can you say that in Spanish?</p>,0,10,spanish,conventional,request,1
249,310,1198,10,32cv20ytda,non_conventional,<p>Please refill my cup.</p>,0,13,salt,direct,request,1
250,311,1224,11,32cv20ytda,non_conventional,<p>Can you lift that box?</p>,0,3,box,conventional,request,1
251,312,1295,12,32cv20ytda,non_conventional,<p>Please wash your clothes.</p>,0,16,laundry,direct,request,1
252,313,1213,13,32cv20ytda,non_conventional,<p>Can you play the piano?</p>,0,8,piano,conventional,request,1
253,314,1296,14,32cv20ytda,non_conventional,<p>My laptop is broken.</p>,1,5,laptop,nonconventional,literal,0
254,315,3478,15,32cv20ytda,non_conventional,<p>Please turn off the television.</p>,0,14,television,direct,request,1
